title,code,industry,link,Assessing Authority,Quick_SKILLED VISAS,Quick_EMPLOYER-SPONSORED,Quick_STATE NOMINATION,Visa_189,Visa_190,Visa_491,Visa_485,Visa_482,Visa_186,Visa_494,Visa_407,List_All applicable lists,List_Skilled visas,List_Employer-sponsored,List_Regional employer-sponsored,List_Training,List_Skilled assessing authorities,ACT_190,ACT_491,ACT_Streams,NT_190,NT_491,NT_Streams,NSW_190,NSW_491,NSW_Streams,QLD_190,QLD_491,QLD_Streams,SA_190,SA_491,SA_Streams,TAS_190,TAS_491,TAS_Streams,VIC_190,VIC_491,VIC_Streams,WA_190,WA_491,WA_Streams
Aboriginal and Torres Strait Islander health worker,411511,411511,https://www.anzscolookup.com.au/occupations/411511,VETASSESS,Not available,Not available,"Not available, 190: 0 states, 491: 0 states",Ineligible | Not listed,Ineligible | Not listed,Ineligible | Not listed,Ineligible | Not listed,Ineligible | Not listed,Ineligible | Not listed,Eligible | ROL,Ineligible | Not listed,ROL,Not available,Not available,ROL,Not available,Manual verification required,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,
Aircraft Maintenance Engineer (Avionics),323111,323111,https://www.anzscolookup.com.au/occupations/323111,TRA,STSOL,CSOL,"16 options, 190: 8 states, 491: 8 states",Ineligible | Not listed,Eligible | STSOL,Eligible | STSOL,Ineligible | Not listed,Eligible | CSOL,Eligible | CSOL,Eligible | ROL,Eligible | STSOL,"STSOL, CSOL, ROL",STSOL,CSOL,ROL,STSOL,TRA,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
Aircraft Maintenance Engineer (Mechanical),323112,323112,https://www.anzscolookup.com.au/occupations/323112,TRA,STSOL,CSOL,"16 options, 190: 8 states, 491: 8 states",Ineligible | Not listed,Eligible | STSOL,Eligible | STSOL,Ineligible | Not listed,Eligible | CSOL,Eligible | CSOL,Eligible | ROL,Eligible | STSOL,"STSOL, CSOL, ROL",STSOL,CSOL,ROL,STSOL,TRA,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
Aircraft Maintenance Engineer (Structures),323113,323113,https://www.anzscolookup.com.au/occupations/323113,TRA,STSOL,CSOL,"16 options, 190: 8 states, 491: 8 states",Ineligible | Not listed,Eligible | STSOL,Eligible | STSOL,Ineligible | Not listed,Eligible | CSOL,Eligible | CSOL,Eligible | ROL,Eligible | STSOL,"STSOL, CSOL, ROL",STSOL,CSOL,ROL,STSOL,TRA,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
Ambulance Officer,411111,411111,https://www.anzscolookup.com.au/occupations/411111,VETASSESS,STSOL,CSOL,"12 options, 190: 6 states, 491: 6 states",Ineligible | Not listed,Eligible | STSOL,Eligible | STSOL,Ineligible | Not listed,Eligible | CSOL,Eligible | CSOL,Eligible | ROL,Eligible | STSOL,"STSOL, CSOL, ROL",STSOL,CSOL,ROL,STSOL,VETASSESS,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
Amusement Centre Manager,149111,149111,https://www.anzscolookup.com.au/occupations/149111,VETASSESS,ROL,Not available,"3 options, 190: 0 states, 491: 3 states",Ineligible | Not listed,Ineligible | Not listed,Eligible | ROL,Ineligible | Not listed,Ineligible | Not listed,Ineligible | Not listed,Eligible | ROL,Eligible | ROL,ROL,ROL,Not available,ROL,ROL,VETASSESS,Ineligible,Ineligible,,Ineligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Eligible,,Ineligible,Eligible,,Ineligible,Ineligible,
Anaesthetic Technician,311211,311211,https://www.anzscolookup.com.au/occupations/311211,VETASSESS,STSOL,CSOL,"14 options, 190: 7 states, 491: 7 states",Ineligible | Not listed,Eligible | STSOL,Eligible | STSOL,Ineligible | Not listed,Eligible | CSOL,Eligible | CSOL,Eligible | ROL,Eligible | STSOL,"STSOL, CSOL, ROL",STSOL,CSOL,ROL,STSOL,VETASSESS,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
Anaesthetist,253211,253211,https://www.anzscolookup.com.au/occupations/253211,MedBA,ROL,CSOL,"7 options, 190: 0 states, 491: 7 states",Ineligible | Not listed,Ineligible | Not listed,Eligible | ROL,Ineligible | Not listed,Eligible | CSOL,Eligible | CSOL,Eligible | ROL,Eligible | ROL,"ROL, CSOL",ROL,CSOL,ROL,ROL,MedBA,Ineligible,Eligible,,Ineligible,Eligible,,Ineligible,Ineligible,,Ineligible,Eligible,,Ineligible,Eligible,,Ineligible,Eligible,,Ineligible,Eligible,,Ineligible,Eligible,
Analyst Programmer,261311,261311,https://www.anzscolookup.com.au/occupations/261311,ACS,MLTSSL,CSOL,"16 options, 190: 8 states, 491: 8 states",Eligible | MLTSSL,Eligible | MLTSSL,Eligible | MLTSSL,Eligible | MLTSSL,Eligible | CSOL,Eligible | CSOL,Eligible | MLTSSL,Eligible | MLTSSL,"MLTSSL, CSOL",MLTSSL,CSOL,MLTSSL,MLTSSL,ACS,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,,Eligible,Eligible,
Animal Attendants And Trainers (NEC),361199,361199,https://www.anzscolookup.com.au/occupations/361199,VETASSESS,STSOL,Not available,"6 options, 190: 3 states, 491: 3 states",Ineligible | Not listed,Eligible | STSOL,Eligible | STSOL,Ineligible | Not listed,Ineligible | Not listed,Ineligible | Not listed,Eligible | ROL,Eligible | STSOL,"STSOL, ROL",STSOL,Not available,ROL,STSOL,VETASSESS,Ineligible,Ineligible,,Eligible,Eligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Eligible,Eligible,,Eligible,Eligible,,Ineligible,Ineligible,
Animal Husbandry Technician,311113,311113,https://www.anzscolookup.com.au/occupations/311113,VETASSESS,Not available,CSOL,"Not available, 190: 0 states, 491: 0 states",Ineligible | Not listed,Ineligible | Not listed,Ineligible | Not listed,Ineligible | Not listed,Eligible | CSOL,Eligible | CSOL,Ineligible | Not listed,Ineligible | Not listed,CSOL,Not available,CSOL,Not available,Not available,Manual verification required,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,,Ineligible,Ineligible,
