title,code,industry,link,Assessing Authority,Federal Lists,Skilled Visas,Employer Sponsored Visas,State Nomination
Architect,232111,232111,https://www.anzscolookup.com.au/occupations/232111,AACA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Architectural Draftsperson,312111,312111,https://www.anzscolookup.com.au/occupations/312111,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
"Architectural, Building And Surveying Technicians (NEC)",312199,312199,https://www.anzscolookup.com.au/occupations/312199,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
archivist,224211,224211,https://www.anzscolookup.com.au/occupations/224211,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
"art director (film, television or stage)",212311,212311,https://www.anzscolookup.com.au/occupations/212311,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Art Teacher (Private Tuition),249211,249211,https://www.anzscolookup.com.au/occupations/249211,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
Artistic Director,212111,212111,https://www.anzscolookup.com.au/occupations/212111,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 3 states"
Arts Administrator Or Manager,139911,139911,https://www.anzscolookup.com.au/occupations/139911,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
auctioneer,611111,611111,https://www.anzscolookup.com.au/occupations/611111,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Audiologist,252711,252711,https://www.anzscolookup.com.au/occupations/252711,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
author,212211,212211,https://www.anzscolookup.com.au/occupations/212211,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Automotive Electrician,321111,321111,https://www.anzscolookup.com.au/occupations/321111,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 8 states"
Baker,351111,351111,https://www.anzscolookup.com.au/occupations/351111,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 5 states"
Barrister,271111,271111,https://www.anzscolookup.com.au/occupations/271111,a legal admissions authority of a State or Territory,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Beauty Therapist,451111,451111,https://www.anzscolookup.com.au/occupations/451111,VETASSESS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
bed and breakfast operator,141911,141911,https://www.anzscolookup.com.au/occupations/141911,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Beef Cattle Farmer,121312,121312,https://www.anzscolookup.com.au/occupations/121312,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 5 states"
betting agency manager,142113,142113,https://www.anzscolookup.com.au/occupations/142113,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Biochemist,234513,234513,https://www.anzscolookup.com.au/occupations/234513,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Biomedical Engineer,233913,233913,https://www.anzscolookup.com.au/occupations/233913,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Biotechnologist,234514,234514,https://www.anzscolookup.com.au/occupations/234514,VETASSESS,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 6 states, 491: 6 states"
blacksmith,322111,322111,https://www.anzscolookup.com.au/occupations/322111,TRA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Boarding Kennel or Cattery Operator,149911,149911,https://www.anzscolookup.com.au/occupations/149911,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Boat Builder And Repairer,399111,399111,https://www.anzscolookup.com.au/occupations/399111,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 4 states"
Book Or Script Editor,212212,212212,https://www.anzscolookup.com.au/occupations/212212,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
Botanist,234515,234515,https://www.anzscolookup.com.au/occupations/234515,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Bricklayer,331111,331111,https://www.anzscolookup.com.au/occupations/331111,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
broadcast transmitter operator,399511,399511,https://www.anzscolookup.com.au/occupations/399511,TRA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Building And Engineering Technicians (NEC),312999,312999,https://www.anzscolookup.com.au/occupations/312999,VETASSESS / Engineers Australia,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 8 states"
Building Associate,312112,312112,https://www.anzscolookup.com.au/occupations/312112,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Building Inspector,312113,312113,https://www.anzscolookup.com.au/occupations/312113,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
business broker,612111,612111,https://www.anzscolookup.com.au/occupations/612111,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Business Machine Mechanic,342311,342311,https://www.anzscolookup.com.au/occupations/342311,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Butcher Or Smallgoods Maker,351211,351211,https://www.anzscolookup.com.au/occupations/351211,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Cabinet Maker,394112,394112,https://www.anzscolookup.com.au/occupations/394112,TRA,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Cabinetmaker,394111,394111,https://www.anzscolookup.com.au/occupations/394111,TRA,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 7 states, 491: 7 states"
Cabler (Data And Telecommunications),342411,342411,https://www.anzscolookup.com.au/occupations/342411,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Cafe Or Restaurant Manager,141111,141111,https://www.anzscolookup.com.au/occupations/141111,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 5 states, 491: 7 states"
call or contact centre manager,149211,149211,https://www.anzscolookup.com.au/occupations/149211,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
call or contact centre team leader,541111,541111,https://www.anzscolookup.com.au/occupations/541111,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
"Camera Operator (Film, Television Or Video)",399512,399512,https://www.anzscolookup.com.au/occupations/399512,TRA,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
canvas goods fabricator,393111,393111,https://www.anzscolookup.com.au/occupations/393111,TRA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Caravan Park And Camping Ground Manager,141211,141211,https://www.anzscolookup.com.au/occupations/141211,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 4 states"
Cardiac Technician,311212,311212,https://www.anzscolookup.com.au/occupations/311212,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Cardiologist,253312,253312,https://www.anzscolookup.com.au/occupations/253312,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Cardiothoracic Surgeon,253512,253512,https://www.anzscolookup.com.au/occupations/253512,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 7 states"
Careers Counsellor,272111,272111,https://www.anzscolookup.com.au/occupations/272111,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 5 states, 491: 6 states"
Carpenter,331212,331212,https://www.anzscolookup.com.au/occupations/331212,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Carpenter And Joiner,331211,331211,https://www.anzscolookup.com.au/occupations/331211,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Cartographer,232213,232213,https://www.anzscolookup.com.au/occupations/232213,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Chef,351311,351311,https://www.anzscolookup.com.au/occupations/351311,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 7 states"
Chemical Engineer,233111,233111,https://www.anzscolookup.com.au/occupations/233111,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Chemical Plant Operator,399211,399211,https://www.anzscolookup.com.au/occupations/399211,TRA,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Chemist,234211,234211,https://www.anzscolookup.com.au/occupations/234211,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Chemistry Technician,311411,311411,https://www.anzscolookup.com.au/occupations/311411,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Chief Executive or Managing Director,111111,111111,https://www.anzscolookup.com.au/occupations/111111,IML,"CSOL, MLTSSL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Chief Information Officer,135111,135111,https://www.anzscolookup.com.au/occupations/135111,ACS,"CSOL, MLTSSL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Child Care Centre Manager,134111,134111,https://www.anzscolookup.com.au/occupations/134111,ACECQA,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 7 states, 491: 8 states"
Child Care Worker,421111,421111,https://www.anzscolookup.com.au/occupations/421111,ACECQA,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Chiropractor,252111,252111,https://www.anzscolookup.com.au/occupations/252111,CCEA,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 7 states, 491: 6 states"
Cinema Or Theatre Manager,149912,149912,https://www.anzscolookup.com.au/occupations/149912,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 4 states"
Civil Engineer,233211,233211,https://www.anzscolookup.com.au/occupations/233211,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Civil Engineering Draftsperson,312211,312211,https://www.anzscolookup.com.au/occupations/312211,Engineers Australia / VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Civil Engineering Technician,312212,312212,https://www.anzscolookup.com.au/occupations/312212,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Clerk of Court,599211,599211,https://www.anzscolookup.com.au/occupations/599211,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Clinical Coder,599915,599915,https://www.anzscolookup.com.au/occupations/599915,an information and organisation professional / an information and organisation professional,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 5 states"
Clinical Haematologist,253313,253313,https://www.anzscolookup.com.au/occupations/253313,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Clinical Psychologist,272311,272311,https://www.anzscolookup.com.au/occupations/272311,APS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
clothing patternmaker,393212,393212,https://www.anzscolookup.com.au/occupations/393212,TRA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
clothing trades workers (nec),393299,393299,https://www.anzscolookup.com.au/occupations/393299,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Commodities Trader,222111,222111,https://www.anzscolookup.com.au/occupations/222111,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 5 states, 491: 5 states"
communications operator,342312,342312,https://www.anzscolookup.com.au/occupations/342312,TRA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Community Arts Worker,272611,272611,https://www.anzscolookup.com.au/occupations/272611,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 5 states"
Community Worker,411711,411711,https://www.anzscolookup.com.au/occupations/411711,ACWA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Company Secretary,221211,221211,https://www.anzscolookup.com.au/occupations/221211,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Complementary Health Therapists (NEC),252299,252299,https://www.anzscolookup.com.au/occupations/252299,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
composer,211211,211211,https://www.anzscolookup.com.au/occupations/211211,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Computer Network And Systems Engineer,263111,263111,https://www.anzscolookup.com.au/occupations/263111,ACS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Conference And Event Organiser,149311,149311,https://www.anzscolookup.com.au/occupations/149311,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 5 states, 491: 5 states"
Conservation Officer,234311,234311,https://www.anzscolookup.com.au/occupations/234311,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 6 states"
Conservator,234911,234911,https://www.anzscolookup.com.au/occupations/234911,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Construction Estimator,312114,312114,https://www.anzscolookup.com.au/occupations/312114,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 8 states"
Construction Project Manager,133111,133111,https://www.anzscolookup.com.au/occupations/133111,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Content Creator (Marketing),225114,225114,https://www.anzscolookup.com.au/occupations/225114,VETASSESS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Contract Administrator,511111,511111,https://www.anzscolookup.com.au/occupations/511111,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Conveyancer,599111,599111,https://www.anzscolookup.com.au/occupations/599111,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Cook,351411,351411,https://www.anzscolookup.com.au/occupations/351411,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 7 states"
Copywriter,212411,212411,https://www.anzscolookup.com.au/occupations/212411,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 4 states"
Corporate General Manager,111211,111211,https://www.anzscolookup.com.au/occupations/111211,IML,"CSOL, MLTSSL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Corporate Services Manager,132111,132111,https://www.anzscolookup.com.au/occupations/132111,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
corporate treasurer,221212,221212,https://www.anzscolookup.com.au/occupations/221212,CAANZ / CPAA / IPA,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Cotton Grower,121211,121211,https://www.anzscolookup.com.au/occupations/121211,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 5 states"
Counsellors (NEC),272199,272199,https://www.anzscolookup.com.au/occupations/272199,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 7 states, 491: 7 states"
court bailiff or sheriff (Aus) / court collections officer (NZ),599212,599212,https://www.anzscolookup.com.au/occupations/599212,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
court orderly (Aus) / court registry officer (NZ),599213,599213,https://www.anzscolookup.com.au/occupations/599213,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Crop Farmers (NEC),121299,121299,https://www.anzscolookup.com.au/occupations/121299,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 5 states"
Customer Service Manager,149212,149212,https://www.anzscolookup.com.au/occupations/149212,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 5 states, 491: 5 states"
Cyber Governance Risk and Compliance Specialist,262114,262114,https://www.anzscolookup.com.au/occupations/262114,ACS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Cyber Security Advice and Assessment Specialist,262115,262115,https://www.anzscolookup.com.au/occupations/262115,ACS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Cyber Security Analyst,262116,262116,https://www.anzscolookup.com.au/occupations/262116,ACS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Cyber Security Architect,262117,262117,https://www.anzscolookup.com.au/occupations/262117,ACS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Cyber Security Engineer,261315,261315,https://www.anzscolookup.com.au/occupations/261315,ACS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Cyber Security Operations Coordinator,262118,262118,https://www.anzscolookup.com.au/occupations/262118,ACS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Dairy Cattle Farmer,121313,121313,https://www.anzscolookup.com.au/occupations/121313,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 4 states"
Dance Teacher (Private Tuition),249212,249212,https://www.anzscolookup.com.au/occupations/249212,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
Dancer Or Choreographer,211112,211112,https://www.anzscolookup.com.au/occupations/211112,VETASSESS,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 4 states, 491: 4 states"
Data Analyst,224114,224114,https://www.anzscolookup.com.au/occupations/224114,ACS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Data Scientist,224115,224115,https://www.anzscolookup.com.au/occupations/224115,ACS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Database Administrator,262111,262111,https://www.anzscolookup.com.au/occupations/262111,ACS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Deer Farmer,121314,121314,https://www.anzscolookup.com.au/occupations/121314,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 4 states"
Dental Hygienist,411211,411211,https://www.anzscolookup.com.au/occupations/411211,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 7 states"
Dental Prosthetist,411212,411212,https://www.anzscolookup.com.au/occupations/411212,TRA,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Dental Specialist,252311,252311,https://www.anzscolookup.com.au/occupations/252311,ADC,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 8 states"
Dental Technician,411213,411213,https://www.anzscolookup.com.au/occupations/411213,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 7 states"
Dental Therapist,411214,411214,https://www.anzscolookup.com.au/occupations/411214,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 7 states"
Dentist,252312,252312,https://www.anzscolookup.com.au/occupations/252312,ADC,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 8 states"
Dermatologist,253911,253911,https://www.anzscolookup.com.au/occupations/253911,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Developer Programmer,261312,261312,https://www.anzscolookup.com.au/occupations/261312,ACS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Devops Engineer,261316,261316,https://www.anzscolookup.com.au/occupations/261316,ACS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Diagnostic And Interventional Radiologist,253917,253917,https://www.anzscolookup.com.au/occupations/253917,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Diesel Motor Mechanic,321212,321212,https://www.anzscolookup.com.au/occupations/321212,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 8 states"
Dietitian,251111,251111,https://www.anzscolookup.com.au/occupations/251111,DAA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 7 states"
"Director (Film, Television, Radio Or Stage)",212312,212312,https://www.anzscolookup.com.au/occupations/212312,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 4 states, 491: 4 states"
director of photography,212313,212313,https://www.anzscolookup.com.au/occupations/212313,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Disabilities Services Officer,411712,411712,https://www.anzscolookup.com.au/occupations/411712,ACWA,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 7 states, 491: 7 states"
Diver,399911,399911,https://www.anzscolookup.com.au/occupations/399911,VETASSESS,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Diversional Therapist,411311,411311,https://www.anzscolookup.com.au/occupations/411311,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Diving Instructor (Open Water),452311,452311,https://www.anzscolookup.com.au/occupations/452311,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 3 states"
Dog Handler Or Trainer,361111,361111,https://www.anzscolookup.com.au/occupations/361111,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 3 states"
dog or horse racing official,452318,452318,https://www.anzscolookup.com.au/occupations/452318,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Drainer,334113,334113,https://www.anzscolookup.com.au/occupations/334113,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
drama teacher (private tuition),249213,249213,https://www.anzscolookup.com.au/occupations/249213,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Dressmaker Or Tailor,393213,393213,https://www.anzscolookup.com.au/occupations/393213,TRA,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 3 states"
Driving Instructor,451211,451211,https://www.anzscolookup.com.au/occupations/451211,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 4 states"
Drug And Alcohol Counsellor,272112,272112,https://www.anzscolookup.com.au/occupations/272112,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 6 states"
Early Childhood (Pre Primary School) Teacher,241111,241111,https://www.anzscolookup.com.au/occupations/241111,ACECQA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Earth Science Technician,311412,311412,https://www.anzscolookup.com.au/occupations/311412,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
Economist,224311,224311,https://www.anzscolookup.com.au/occupations/224311,VETASSESS,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 4 states, 491: 4 states"
Education Adviser,249111,249111,https://www.anzscolookup.com.au/occupations/249111,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 4 states, 491: 4 states"
