title,code,industry,link,Assessing Authority,Federal Lists,Skilled Visas,Employer Sponsored Visas,State Nomination
ICT Support Engineer,263212,263212,https://www.anzscolookup.com.au/occupations/263212,ACS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 6 states, 491: 6 states"
ICT Support Technicians (NEC),313199,313199,https://www.anzscolookup.com.au/occupations/313199,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
ICT Systems Test Engineer,263213,263213,https://www.anzscolookup.com.au/occupations/263213,ACS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
ICT Trainer,223211,223211,https://www.anzscolookup.com.au/occupations/223211,ACS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 4 states"
Illustrator,232412,232412,https://www.anzscolookup.com.au/occupations/232412,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
importer or exporter,133311,133311,https://www.anzscolookup.com.au/occupations/133311,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Industrial Designer,232312,232312,https://www.anzscolookup.com.au/occupations/232312,VETASSESS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 3 states, 491: 4 states"
Industrial Engineer,233511,233511,https://www.anzscolookup.com.au/occupations/233511,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Industrial Pharmacist,251512,251512,https://www.anzscolookup.com.au/occupations/251512,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Information And Organisation Professionals (NEC),224999,224999,https://www.anzscolookup.com.au/occupations/224999,ACS / VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
Insurance Agent,611211,611211,https://www.anzscolookup.com.au/occupations/611211,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 3 states"
Insurance Broker,222113,222113,https://www.anzscolookup.com.au/occupations/222113,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 5 states"
insurance investigator,599611,599611,https://www.anzscolookup.com.au/occupations/599611,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Insurance Loss Adjuster,599612,599612,https://www.anzscolookup.com.au/occupations/599612,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 3 states"
insurance risk surveyor,599613,599613,https://www.anzscolookup.com.au/occupations/599613,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Intellectual Property Lawyer,271214,271214,https://www.anzscolookup.com.au/occupations/271214,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 4 states"
Intensive Care Ambulance Paramedic,411112,411112,https://www.anzscolookup.com.au/occupations/411112,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Intensive Care Specialist,253317,253317,https://www.anzscolookup.com.au/occupations/253317,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
interior decorator,399912,399912,https://www.anzscolookup.com.au/occupations/399912,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Interior Designer,232511,232511,https://www.anzscolookup.com.au/occupations/232511,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 4 states"
Internal Auditor,221214,221214,https://www.anzscolookup.com.au/occupations/221214,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 6 states, 491: 6 states"
Interpreter,272412,272412,https://www.anzscolookup.com.au/occupations/272412,NAATI,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 4 states, 491: 5 states"
Irrigation Designer,311115,311115,https://www.anzscolookup.com.au/occupations/311115,VETASSESS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
